DAY,단어,품사,동의어1,동의어2,동의어3,동의어4,한국어 뜻,예문,예문 뜻,
1,exploit,v.,utilize,use,make use of,take advantage of,"이용하다, 착취하다",Human rights activists have led protests against companies that exploit child labor.,인권 운동가들은 아동의 노동을 이용하는 회사들에 대항하는 시위를 이끌어 왔다.,
1,account for,phr.,explain,justify,give a reason for,,(이유 등을) 설명하다,The suspect couldn't account for his whereabouts last night.,그 용의자는 어젯밤 자신의 행방을 설명할 수 없었다.,
1,account for,phr.,make up,comprise,constitute,,(부분·비율을) 차지하다,Coffee exports account for nearly 60 percent of Ethiopia's gross national product.,커피 수출액은 에티오피아 국민 총생산의 거의 60%를 차지한다.,
1,account for,phr.,cause,,,,원인이 되다,Unsafe working conditions at the construction site accounted for a number of serious injuries.,건축 현장에서의 위험한 직업 환경이 다수의 심각한 부상의 원인이 되었다.,
1,particular,adj.,specific,special,,,"특정한, 특별한",particular type,갈릴레오는 아리스토텔레스의 특정한 진술 하나가 틀렸음을 입증하려고 노력했다. ,
1,prominent,adj.,noticeable,conspicuous,outstanding,remarkable,눈에 띄는,Mt. Fuji is a prominent natural landmark in Japan.,후지 산은 일본에서 눈에 띄는 자연 명소이다.,
1,prominent,adj.,important,leading,notable,,중요한,William Shakespeare is one of the most prominent figures in the history of English literature.,윌리엄 셰익스피어는 영문학사에서 가장 중요한 인물 중 한 명이다.,
1,replenish,v.,refill,restore,renew,,다시 채우다,The travelers replenished their supplies of water before crossing the desert.,여행객들은 사막을 건너기 전에 물 저장량을 보충했다.,
1,indigenous,adj.,native,aboriginal,,,토착의,The government ignored environmental complaints by indigenous groups.,정부는 토착 집단들이 제기한 환경 관련 항의를 무시했다.,
1,pinpoint,v.,locate exactly,clearly identify,,,(위치 등을) 정확히 찾아내다,"With GPS technology, it is possible to pinpoint a person's position anywhere on the planet.",GPS 기술을 사용하면 지구 어디에서나 사람의 위치를 정확히 찾아내는 것이 가능하다.,
1,pinpoint,adj.,precise,exact,accurate,,정확한,"After years of training, baseball pitchers develop pinpoint control of the ball.","수년간의 훈련 후, 야구 투수들은 공에 대한 정확한 통제력을 발전시킨다.",
1,annihilate,v.,destroy,completely remove,exterminate,,"전멸시키다, 완패시키다",An asteroid impact 65.6 milion years ago nearly annihilated all living things on the planet.,"6,550만 년 전의 소행성 충돌은 행성의 모든 생물체를 거의 전멸시켰다.",
1,conversely,adv.,on the other hand,contrarily,,,"(대개 문장 앞에서) 반대로, 역으로 보자면","Texting is growing more popular as a from of communication, while, conversely, phone calls are becoming less common.",휴대폰 문자 메시지는 통신 수단의 한 방식으로 인기가 더 많아지고 있는 반면에 전화 통화는 반대로 덜 흔해지고 있다.,
1,investigate,v.,examin,inquire into,look into,,조사하다,The police will investigate the crime scene after they interview the witnesses.,경찰은 목격자들을 면담한 후에 범죄 현장을 조사할 것이다.,
1,assure,v.,convince,persuade,satisfy,guarantee,"보장하다, 확신시키다; 확인하다",The lawyer assured Tim that all his rights would be respected.,그 변호사는 Tim에게 그의 모든 권리는 존중될 것이라고 확신시켰다.,
1,entire,adj.,whole,total,complete,,전체의; 완전한,"Fire destroyed the entire factory, but the owner plans to rebuild it.","화재가 공장 전체를 파괴했지만, 소유주는 그것을 다시 지을 계획이다.",
1,compensate for,phr.,make up for,atone for,make amends for,,~을 보상하다,The chemical company was ordered to pay millions of dollars to compensate for polluting the river.,그 화학 회사는 강을 오염시킨 것을 보상하기 위해 수백만 달러를 내도록 명령을 받았다.,
1,compensate for,phr.,balance,offset,,,상쇄하다,The manager compensated for the unfair distribution of duties by assigning more work to certian staff.,관리자는 특정 직원에게 더 많은 업무를 맡김으로써 불공평한 업무의 분배를 상쇄했다.,
1,postulate,v.,hypothesize,suppose,claim,propose,(이론 등의 근거로 삼기 위해 무엇이 사실이라고) 상정하다,Isaac Newton postulated that gravity pulls objects towrad the Earth.,아이작 뉴턴은 중력이 물체를 지구 쪽으로 끌어당긴다고 가정했다.,
1,magnify,v.,enlarge,increase,amplify,intensify,확대하다; 과장하다,magnify the screen,화면을 확대하다,
1,afford,v.,give,offer,provide,grant,"~할 수 있다, ~할 여유가 있다; 제공하다",afford data ,재료를 공급하다,
1,conclusive,adj.,definitive,final,enough to settle the issue,clear,"결정적인, 확실한, 단호한",a conclusive answer ,최종적인 회답,
1,unsophisticated,adj.,simple,uncomplicated,not complex,,세련되지 못한; 단순한; 복잡하지 않은,unsophisticated questions ,단순한 질문,
1,justified,adj.,right,legitimate,just,reasonable,정당한,His fears proved justified.,그의 두려움은 이유가 있는 것으로 밝혀졌다.,
1,deliberate,adj.,intentional,designed,planned,,"의도적인, 계획적인",,,
1,deliberate,adj.,careful,cautious,thoughtful,,신중한,a deliberate choice,신중한 선택,
1,depend on,phr.,rely on,count on,,,"~에 의지하다(=depend on, rely on), 믿다, ~을 신뢰하다",depend on intuition,직감에 의존하다,
1,substantiate,v.,confirm,prove,authenticate,verify,"구체화하다, 입증하다",substantiate a contention ,주장을 뒷받침하다,
